payment_id,transaction_timestamp,merchant_id,customer_id,amount,currency,processing_fee,payment_method,card_type,card_network,issuer_country,billing_country,ip_country,device_type,device_id,is_new_device,is_new_customer,is_cross_border,country_mismatch_flag,velocity_1h,authentication_used,authentication_result,risk_score,decision,authorisation_status,decline_reason,confirmed_fraud,refund_status,transaction_date,transaction_month,merchant_name,industry,merchant_country,merchant_size,merchant_risk_category,platform_type,reserve_rate,expected_monthly_volume,customer_country,account_created_at,customer_segment,historical_orders,historical_chargebacks,email_age_days,lifetime_value,dispute_id,dispute_date,dispute_reason,disputed_amount,dispute_fee,dispute_status,resolution_date,recovered_amount,net_dispute_loss,approved_flag,declined_flag,has_dispute,approved_amount,gross_processing_revenue,modelled_fraud_loss,modelled_nonfraud_dispute_loss
P0036429,"2025-01-01 03:13:02",M00094,C002299,35.11,GBP,0.69,"Digital Wallet",Debit,Mastercard,FR,FR,FR,Desktop,DEV002299,0,0,1,0,1,1,Successful,30,Approve,Approved,"Not Applicable",0,"Not Refunded",2025-01-01,2025-01,"Synthetic Merchant 094",Gaming,GB,Enterprise,High,Direct,0.0971,1362213.54,FR,2021-03-07,Returning,5,0,2280,290.47,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,35.11,0.69,0.00,0.00
P0047422,"2025-01-01 03:23:55",M00028,C004477,58.09,AUD,1.01,Card,Debit,Visa,IE,IE,IE,Desktop,DEV004477,0,0,1,0,1,0,"Not Attempted",27,Approve,Approved,"Not Applicable",0,"Not Refunded",2025-01-01,2025-01,"Synthetic Merchant 028","Digital Products",AU,Enterprise,Medium,Direct,0.0402,4712196.07,IE,2019-04-17,Returning,18,0,3044,845.57,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,58.09,1.01,0.00,0.00
P0020133,"2025-01-01 03:47:38",M00068,C006791,223.57,GBP,3.33,"Bank Transfer","Not Applicable","Not Applicable",US,US,US,Mobile,DEV006791,0,0,1,0,1,0,"Not Attempted",18,Approve,Approved,"Not Applicable",0,"Not Refunded",2025-01-01,2025-01,"Synthetic Merchant 068",Electronics,GB,Medium,Medium,Direct,0.0321,322666.33,US,2023-08-26,Occasional,4,0,1576,399.43,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,223.57,3.33,0.00,0.00
P0023727,"2025-01-01 03:59:56",M00099,C001107,33.51,EUR,0.67,Card,Debit,Visa,GB,GB,GB,Mobile,DEV001107,0,0,1,0,1,1,Failed,35,Approve,Declined,"Authentication Failed",0,"Not Refunded",2025-01-01,2025-01,"Synthetic Merchant 099",Ticketing,IT,Medium,High,Direct,0.1322,270364.88,GB,2023-10-28,Occasional,4,0,1234,659.95,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,0,0.00,0.00,0.00,0.00
P0014438,"2025-01-01 04:22:42",M00034,C001145,31.78,USD,0.64,Card,Debit,Visa,IT,IT,IT,Desktop,DEV001145,0,0,1,0,1,0,"Not Attempted",28,Approve,Declined,"Issuer Decline",0,"Not Refunded",2025-01-01,2025-01,"Synthetic Merchant 034",Gaming,US,Small,High,Direct,0.1105,36241.81,IT,2022-12-11,Occasional,6,0,1235,245.81,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,0,0.00,0.00,0.00,0.00
P0032891,"2025-01-01 04:25:36",M00023,C000511,151.81,GBP,2.33,"Digital Wallet",Debit,Visa,CA,CA,GB,Mobile,DEV000511,0,0,1,1,1,1,Successful,58,Approve,Approved,"Not Applicable",0,"Not Refunded",2025-01-01,2025-01,"Synthetic Merchant 023",Travel,GB,Enterprise,High,Marketplace,0.1089,2708181.47,CA,2021-05-07,Returning,13,0,2046,1424.14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,151.81,2.33,0.00,0.00
P0007121,"2025-01-01 04:27:04",M00043,C007069,11.00,USD,0.35,Card,Credit,Mastercard,CA,CA,CA,Mobile,DEV007069,0,0,1,0,1,1,Successful,39,Approve,Approved,"Not Applicable",0,"Not Refunded",2025-01-01,2025-01,"Synthetic Merchant 043","Digital Products",US,Medium,High,Direct,0.0832,178124.04,CA,2019-08-11,Returning,15,0,2738,857.95,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,11.00,0.35,0.00,0.00
P0022269,"2025-01-01 04:34:57",M00010,C002363,122.24,EUR,1.91,Card,Debit,Visa,AU,AU,AU,Desktop,DEV002363,0,0,1,0,1,0,"Not Attempted",5,Approve,Approved,"Not Applicable",0,"Not Refunded",2025-01-01,2025-01,"Synthetic Merchant 010","Subscription Software",IE,Small,Low,Subscription,0.0234,26199.33,AU,2022-12-31,Returning,9,0,1498,829.07,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,122.24,1.91,0.00,0.00
P0014605,"2025-01-01 04:41:10",M00014,C007578,111.66,EUR,1.76,Card,Credit,Visa,DE,DE,DE,Desktop,NEWDEV226628,1,0,1,0,1,1,Successful,47,Approve,Approved,"Not Applicable",0,"Not Refunded",2025-01-01,2025-01,"Synthetic Merchant 014",Ticketing,NL,Small,Medium,Direct,0.0589,25784.48,DE,2024-07-25,Returning,7,0,1100,276.85,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,111.66,1.76,0.00,0.00
P0014846,"2025-01-01 05:26:05",M00056,C005169,373.79,EUR,5.43,Card,Debit,Visa,IT,IT,IT,Mobile,DEV005169,0,0,1,0,1,1,Successful,32,Approve,Approved,"Not Applicable",0,"Not Refunded",2025-01-01,2025-01,"Synthetic Merchant 056",Electronics,NL,Medium,High,Subscription,0.0903,315534.15,AU,2023-09-21,Returning,13,0,915,1408.39,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,373.79,5.43,0.00,0.00
P0018216,"2025-01-01 05:38:44",M00017,C001328,104.49,AUD,1.66,Card,Debit,Mastercard,FR,FR,FR,Mobile,DEV001328,0,0,1,0,1,1,Successful,35,Approve,Approved,"Not Applicable",0,"Not Refunded",2025-01-01,2025-01,"Synthetic Merchant 017","Digital Products",AU,Enterprise,High,Direct,0.1323,3726005.85,FR,2019-03-08,Returning,16,0,2869,2176.99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,104.49,1.66,0.00,0.00
P0041139,"2025-01-01 05:47:12",M00095,C001902,434.47,GBP,6.28,"Digital Wallet",Debit,Mastercard,IT,IT,NL,Mobile,DEV001902,0,0,1,1,1,1,Successful,52,Approve,Approved,"Not Applicable",0,"Fully Refunded",2025-01-01,2025-01,"Synthetic Merchant 095",Travel,GB,Enterprise,High,Direct,0.0706,1751099.48,IT,2023-02-25,Returning,5,0,1290,536.64,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,434.47,6.28,0.00,0.00
P0042628,"2025-01-01 05:47:19",M00055,C002383,21.93,GBP,0.51,Card,Debit,Visa,FR,FR,FR,Mobile,DEV002383,0,0,1,0,1,0,"Not Attempted",18,Approve,Approved,"Not Applicable",0,"Not Refunded",2025-01-01,2025-01,"Synthetic Merchant 055","Food Delivery",GB,Medium,Low,Subscription,0.0292,410397.88,FR,2023-08-17,Occasional,5,0,1112,383.55,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,21.93,0.51,0.00,0.00
P0039359,"2025-01-01 05:51:39",M00068,C001030,498.17,GBP,7.17,Card,Credit,Visa,DE,DE,CA,Desktop,DEV001030,0,0,1,1,1,1,Successful,37,Approve,Approved,"Not Applicable",0,"Not Refunded",2025-01-01,2025-01,"Synthetic Merchant 068",Electronics,GB,Medium,Medium,Direct,0.0321,322666.33,DE,2021-01-28,Returning,22,0,2271,1929.83,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,498.17,7.17,0.00,0.00
P0033980,"2025-01-01 06:01:18",M00079,C003878,31.73,EUR,0.64,Card,Debit,Visa,CA,CA,CA,Mobile,DEV003878,0,0,1,0,1,1,Successful,17,Approve,Approved,"Not Applicable",0,"Not Refunded",2025-01-01,2025-01,"Synthetic Merchant 079",Fashion,IE,Small,Medium,Direct,0.0426,40434.45,CA,2024-08-24,Returning,17,0,1211,1381.57,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,31.73,0.64,0.00,0.00
P0032944,"2025-01-01 06:12:17",M00017,C001783,54.43,AUD,0.96,Card,Debit,Mastercard,IE,IE,IE,Mobile,DEV001783,0,0,1,0,1,1,Successful,30,Approve,Approved,"Not Applicable",0,"Not Refunded",2025-01-01,2025-01,"Synthetic Merchant 017","Digital Products",AU,Enterprise,High,Direct,0.1323,3726005.85,IE,2019-10-22,Returning,24,0,2340,2251.03,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,54.43,0.96,0.00,0.00
P0022798,"2025-01-01 06:32:45",M00071,C006894,75.30,EUR,1.25,Card,Debit,Mastercard,DE,DE,DE,Mobile,DEV006894,0,0,1,0,1,0,"Not Attempted",5,Approve,Approved,"Not Applicable",0,"Not Refunded",2025-01-01,2025-01,"Synthetic Merchant 071","Subscription Software",IE,Medium,Low,Subscription,0.0131,380579.49,DE,2022-12-04,Occasional,3,0,1702,118.26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,75.30,1.25,0.00,0.00
P0013794,"2025-01-01 06:52:22",M00058,C004010,17.31,EUR,0.44,"Digital Wallet",Credit,Amex,DE,DE,DE,Mobile,DEV004010,0,0,1,0,1,1,Successful,19,Approve,Approved,"Not Applicable",0,"Not Refunded",2025-01-01,2025-01,"Synthetic Merchant 058","Food Delivery",IT,Medium,Low,Direct,0.0286,103880.11,DE,2023-06-08,Occasional,1,0,1622,109.85,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,17.31,0.44,0.00,0.00
P0014179,"2025-01-01 07:04:02",M00017,C001830,10.52,AUD,0.35,"Digital Wallet",Credit,Mastercard,NL,NL,NL,Desktop,DEV001830,0,0,1,0,1,0,"Not Attempted",27,Approve,Approved,"Not Applicable",0,"Not Refunded",2025-01-01,2025-01,"Synthetic Merchant 017","Digital Products",AU,Enterprise,High,Direct,0.1323,3726005.85,NL,2017-01-01,Loyal,75,0,3707,5501.42,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,10.52,0.35,0.00,0.00
P0046423,"2025-01-01 10:06:37",M00081,C003144,28.99,CAD,0.61,"Digital Wallet",Debit,Mastercard,ES,ES,IE,Desktop,DEV003144,0,0,1,1,1,0,"Not Attempted",21,Approve,Approved,"Not Applicable",0,"Not Refunded",2025-01-01,2025-01,"Synthetic Merchant 081","Food Delivery",CA,Enterprise,Low,Direct,0.0163,4268220.63,ES,2021-07-13,Returning,21,0,1704,612.87,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,28.99,0.61,0.00,0.00
P0017733,"2025-01-01 10:26:49",M00055,C007418,21.89,GBP,0.51,"Digital Wallet",Debit,Mastercard,IE,IE,IE,Mobile,DEV007418,0,0,1,0,1,0,"Not Attempted",14,Approve,Approved,"Not Applicable",0,"Not Refunded",2025-01-01,2025-01,"Synthetic Merchant 055","Food Delivery",GB,Medium,Low,Subscription,0.0292,410397.88,IE,2020-06-27,Returning,10,0,2248,427.50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,21.89,0.51,0.00,0.00
P0032392,"2025-01-01 10:32:33",M00037,C008229,6.47,EUR,0.29,"Digital Wallet",Credit,Amex,IE,IE,IE,Mobile,NEWDEV438067,1,0,1,0,1,1,Successful,37,Approve,Approved,"Not Applicable",0,"Not Refunded",2025-01-01,2025-01,"Synthetic Merchant 037",Gaming,ES,Enterprise,Medium,Subscription,0.0522,3352888.00,IE,2023-08-24,Returning,24,0,1125,3068.18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,6.47,0.29,0.00,0.00
P0003891,"2025-01-01 10:46:10",M00062,C002351,45.41,AUD,0.84,Card,Credit,Mastercard,IE,IE,IE,Mobile,DEV002351,0,0,1,0,1,1,Successful,34,Approve,Approved,"Not Applicable",0,"Not Refunded",2025-01-01,2025-01,"Synthetic Merchant 062","Digital Products",AU,Medium,High,Direct,0.1489,372992.11,IE,2020-10-30,Returning,19,0,2465,2414.85,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,45.41,0.84,0.00,0.00
P0032482,"2025-01-01 11:00:33",M00024,C008229,53.22,EUR,0.95,Card,Credit,Visa,IE,IE,IE,Mobile,DEV008229,0,0,1,0,2,0,"Not Attempted",19,Approve,Approved,"Not Applicable",0,"Not Refunded",2025-01-01,2025-01,"Synthetic Merchant 024",Fashion,NL,Small,Low,Direct,0.0166,28430.26,IE,2023-08-24,Returning,24,0,1125,3068.18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,53.22,0.95,0.00,0.00
P0022240,"2025-01-01 11:14:12",M00029,C003639,523.63,USD,7.53,"Digital Wallet",Credit,Visa,AU,AU,AU,Mobile,DEV003639,0,0,1,0,1,1,Successful,34,Approve,Approved,"Not Applicable",0,"Not Refunded",2025-01-01,2025-01,"Synthetic Merchant 029",Electronics,US,Small,High,Subscription,0.1299,45085.66,FR,2022-05-11,Returning,22,0,1822,2720.05,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,523.63,7.53,0.00,0.00
P0027847,"2025-01-01 11:35:02",M00025,C004302,270.22,EUR,3.98,Card,Credit,Visa,ES,ES,ES,Mobile,DEV004302,0,0,1,0,1,1,Successful,32,Approve,Approved,"Not Applicable",0,"Not Refunded",2025-01-01,2025-01,"Synthetic Merchant 025",Ticketing,NL,Small,High,Marketplace,0.1143,9885.91,ES,2022-07-21,Occasional,4,0,1723,284.99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,270.22,3.98,0.00,0.00
P0016637,"2025-01-01 12:04:09",M00095,C007601,698.27,GBP,9.98,Card,Credit,Mastercard,CA,CA,CA,Tablet,DEV007601,0,0,1,0,1,0,"Not Attempted",28,Approve,Approved,"Not Applicable",0,"Not Refunded",2025-01-01,2025-01,"Synthetic Merchant 095",Travel,GB,Enterprise,High,Direct,0.0706,1751099.48,CA,2021-02-19,Returning,16,0,1904,1540.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,698.27,9.98,0.00,0.00
P0039253,"2025-01-01 12:05:45",M00064,C001771,94.06,EUR,1.52,Card,Debit,Amex,ES,ES,ES,Tablet,DEV001771,0,0,1,0,1,1,Failed,30,Approve,Approved,"Not Applicable",0,"Not Refunded",2025-01-01,2025-01,"Synthetic Merchant 064",Electronics,IE,Small,High,Direct,0.1067,24904.14,ES,2021-10-11,Returning,18,0,2004,1097.08,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,94.06,1.52,0.00,0.00
P0027403,"2025-01-01 12:25:33",M00087,C004804,55.39,CAD,0.98,"Digital Wallet",Debit,Mastercard,GB,GB,GB,Mobile,DEV004804,0,0,1,0,1,0,"Not Attempted",28,Approve,Approved,"Not Applicable",0,"Not Refunded",2025-01-01,2025-01,"Synthetic Merchant 087","Digital Products",CA,Enterprise,High,Marketplace,0.0813,2517105.26,GB,2021-03-22,Returning,17,0,1926,1210.92,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,55.39,0.98,0.00,0.00
P0003736,"2025-01-01 12:33:00",M00042,C002910,124.29,EUR,1.94,"Digital Wallet",Credit,Amex,US,US,IT,Desktop,DEV002910,0,0,1,1,1,1,Successful,52,Approve,Approved,"Not Applicable",0,"Not Refunded",2025-01-01,2025-01,"Synthetic Merchant 042",Ticketing,FR,Medium,High,Direct,0.0753,317495.15,US,2019-06-10,Loyal,85,0,3019,2489.03,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,124.29,1.94,0.00,0.00
P0046218,"2025-01-01 12:44:30",M00028,C005513,7.04,AUD,0.30,Card,Debit,Mastercard,IT,IT,ES,Mobile,NEWDEV152438,1,0,1,1,1,1,Failed,67,Review,Declined,"Authentication Failed",0,"Not Refunded",2025-01-01,2025-01,"Synthetic Merchant 028","Digital Products",AU,Enterprise,Medium,Direct,0.0402,4712196.07,IT,2019-09-10,Returning,17,0,2789,737.50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,0,0.00,0.00,0.00,0.00
P0049579,"2025-01-01 13:18:14",M00068,C008546,223.16,GBP,3.32,"Bank Transfer","Not Applicable","Not Applicable",US,US,US,Mobile,DEV008546,0,0,1,0,1,0,"Not Attempted",36,Approve,Approved,"Not Applicable",0,"Not Refunded",2025-01-01,2025-01,"Synthetic Merchant 068",Electronics,GB,Medium,Medium,Direct,0.0321,322666.33,US,2024-07-19,Returning,14,0,1252,1228.54,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,223.16,3.32,0.00,0.00
P0020583,"2025-01-01 13:29:47",M00087,C005563,44.76,CAD,0.83,"Digital Wallet",Credit,Visa,DE,DE,DE,Mobile,DEV005563,0,0,1,0,1,1,Successful,37,Approve,Approved,"Not Applicable",0,"Fully Refunded",2025-01-01,2025-01,"Synthetic Merchant 087","Digital Products",CA,Enterprise,High,Marketplace,0.0813,2517105.26,DE,2024-01-15,Occasional,4,0,1373,173.57,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,44.76,0.83,0.00,0.00
P0013595,"2025-01-01 14:16:36",M00016,C004614,87.69,EUR,1.43,"Digital Wallet",Debit,Visa,IE,IE,IE,Mobile,DEV004614,0,0,1,0,1,0,"Not Attempted",7,Approve,Approved,"Not Applicable",0,"Not Refunded",2025-01-01,2025-01,"Synthetic Merchant 016","Subscription Software",FR,Medium,Low,Subscription,0.0118,103102.66,IE,2024-01-18,Returning,17,0,1055,781.22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,87.69,1.43,0.00,0.00
P0013669,"2025-01-01 14:24:29",M00017,C004871,38.18,AUD,0.73,Card,Credit,Mastercard,GB,GB,GB,Mobile,DEV004871,0,0,1,0,1,1,Successful,34,Approve,Approved,"Not Applicable",0,"Not Refunded",2025-01-01,2025-01,"Synthetic Merchant 017","Digital Products",AU,Enterprise,High,Direct,0.1323,3726005.85,GB,2019-04-04,Returning,7,0,2989,765.20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,38.18,0.73,0.00,0.00
P0012030,"2025-01-01 14:45:18",M00037,C006388,8.23,EUR,0.32,"Digital Wallet",Credit,Visa,NL,NL,NL,Desktop,DEV006388,0,0,1,0,1,1,Successful,31,Approve,Approved,"Not Applicable",0,"Not Refunded",2025-01-01,2025-01,"Synthetic Merchant 037",Gaming,ES,Enterprise,Medium,Subscription,0.0522,3352888.00,NL,2020-12-20,Loyal,29,0,2522,2740.35,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,8.23,0.32,0.00,0.00
P0049705,"2025-01-01 14:53:43",M00055,C009586,36.72,GBP,0.71,Card,Debit,Visa,GB,GB,GB,Mobile,DEV009586,0,0,0,0,1,0,"Not Attempted",10,Approve,Declined,"Invalid Details",0,"Not Refunded",2025-01-01,2025-01,"Synthetic Merchant 055","Food Delivery",GB,Medium,Low,Subscription,0.0292,410397.88,GB,2024-06-21,Returning,16,0,1157,2244.09,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,0,0.00,0.00,0.00,0.00
P0028269,"2025-01-01 15:44:28",M00043,C001501,40.04,USD,0.76,Card,Debit,Mastercard,IE,IE,IE,Desktop,NEWDEV009258,1,0,1,0,1,1,Successful,47,Approve,Approved,"Not Applicable",0,"Partially Refunded",2025-01-01,2025-01,"Synthetic Merchant 043","Digital Products",US,Medium,High,Direct,0.0832,178124.04,IE,2022-07-21,Returning,13,0,1426,520.79,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,40.04,0.76,0.00,0.00
P0029174,"2025-01-01 16:16:36",M00038,C008709,46.52,CAD,0.85,Card,Credit,Mastercard,FR,FR,FR,Mobile,DEV008709,0,0,1,0,1,0,"Not Attempted",10,Approve,Approved,"Not Applicable",0,"Not Refunded",2025-01-01,2025-01,"Synthetic Merchant 038",Fashion,CA,Small,Low,Subscription,0.0219,46986.04,FR,2024-01-30,Occasional,2,0,911,126.24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,46.52,0.85,0.00,0.00
P0008062,"2025-01-01 16:40:32",M00090,C006434,51.19,USD,0.92,Card,Credit,Mastercard,IE,IE,IE,Desktop,NEWDEV334256,1,0,1,0,1,1,Successful,35,Approve,Approved,"Not Applicable",0,"Not Refunded",2025-01-01,2025-01,"Synthetic Merchant 090",Fashion,US,Small,Low,Direct,0.0149,42961.48,IE,2022-01-28,Occasional,1,0,1525,78.20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,51.19,0.92,0.00,0.00
P0001377,"2025-01-01 16:41:49",M00068,C001206,563.23,GBP,8.09,Card,Credit,Visa,ES,ES,ES,Mobile,DEV001206,0,1,1,0,1,1,Successful,55,Approve,Approved,"Not Applicable",0,"Not Refunded",2025-01-01,2025-01,"Synthetic Merchant 068",Electronics,GB,Medium,Medium,Direct,0.0321,322666.33,ES,2024-11-21,Occasional,5,0,676,465.56,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,563.23,8.09,0.00,0.00
